LapTime,LapNumber,TyreLife,FreshTyre,TrackStatus,Stint,Piloto,makeStop,AirTemp,Rainfall,Humidity,TrackTemp,posicionActual,tiempoPilotoDelante,tiempoPilotoDetras,posicionSalida,anyo,nextPit,compound_HARD,compound_INTERMEDIATE,compound_MEDIUM,compound_SOFT,compound_SUPERSOFT,compound_WET
84.009,35.0,37.0,0,1,1.0,bottas,0,22.0,1,66.9,30.7,1.0,86.356,84.257,4.0,2018,36.0,0,0,0,0,1,0
88.735,36.0,38.0,0,1,1.0,bottas,0,22.1,0,66.4,31.7,3.0,84.322,83.888,4.0,2018,53.0,0,0,0,0,1,0
102.981,37.0,1.0,1,1,2.0,bottas,1,22.4,0,65.5,33.0,4.0,84.084,85.273,4.0,2018,53.0,0,0,0,1,0,0
83.062,38.0,2.0,1,1,2.0,bottas,0,22.5,0,65.6,33.2,4.0,83.781,84.271,4.0,2018,53.0,0,0,0,1,0,0
82.907,39.0,3.0,1,1,2.0,bottas,0,22.7,0,64.5,33.8,4.0,83.633,83.006,4.0,2018,53.0,0,0,0,1,0,0
83.082,40.0,4.0,1,1,2.0,bottas,0,22.8,0,64.3,34.0,4.0,83.691,83.473,4.0,2018,53.0,0,0,0,1,0,0
83.038,41.0,5.0,1,1,2.0,bottas,0,22.9,0,63.4,34.1,4.0,83.609,83.174,4.0,2018,53.0,0,0,0,1,0,0
84.116,42.0,6.0,1,1,2.0,bottas,0,22.9,0,62.6,34.0,4.0,84.171,83.542,4.0,2018,53.0,0,0,0,1,0,0
87.893,43.0,7.0,1,1,2.0,bottas,0,22.8,0,62.6,33.7,4.0,84.083,83.027,4.0,2018,53.0,0,0,0,1,0,0
83.026,44.0,8.0,1,1,2.0,bottas,0,22.9,0,61.4,33.3,4.0,83.762,83.311,4.0,2018,53.0,0,0,0,1,0,0
83.174,45.0,9.0,1,1,2.0,bottas,0,22.8,0,61.1,33.3,4.0,84.774,82.884,4.0,2018,53.0,0,0,0,1,0,0
83.042,46.0,10.0,1,1,2.0,bottas,0,22.9,0,58.2,33.1,4.0,84.297,82.927,4.0,2018,53.0,0,0,0,1,0,0
83.525,47.0,11.0,1,1,2.0,bottas,0,22.6,0,55.7,32.7,4.0,83.927,82.702,4.0,2018,53.0,0,0,0,1,0,0
83.908,48.0,12.0,1,1,2.0,bottas,0,22.5,0,56.0,32.8,4.0,83.982,82.828,4.0,2018,53.0,0,0,0,1,0,0
84.545,49.0,13.0,1,1,2.0,bottas,0,22.6,0,53.6,33.1,4.0,84.337,83.405,4.0,2018,53.0,0,0,0,1,0,0
83.665,50.0,14.0,1,1,2.0,bottas,0,22.6,0,53.2,33.1,4.0,83.705,83.187,4.0,2018,53.0,0,0,0,1,0,0
83.734,51.0,15.0,1,1,2.0,bottas,0,22.6,0,53.5,33.3,4.0,83.767,82.505,4.0,2018,53.0,0,0,0,1,0,0
83.637,52.0,16.0,1,1,2.0,bottas,0,22.8,0,52.2,33.9,4.0,83.836,83.116,4.0,2018,53.0,0,0,0,1,0,0
84.256,53.0,17.0,1,1,2.0,bottas,0,22.7,0,51.9,33.6,4.0,83.881,82.914,4.0,2018,53.0,0,0,0,1,0,0
137.828,2.0,1.0,1,674,2.0,vettel,1,21.8,0,66.2,30.3,18.0,138.448,128.119,2.0,2018,29.0,0,0,0,1,0,0
119.157,3.0,2.0,1,4,2.0,vettel,0,21.9,0,65.9,30.5,18.0,118.235,116.316,2.0,2018,29.0,0,0,0,1,0,0
85.442,4.0,3.0,1,1,2.0,vettel,0,22.2,0,64.3,30.9,17.0,86.824,87.089,2.0,2018,29.0,0,0,0,1,0,0
86.672,5.0,4.0,1,1,2.0,vettel,0,22.3,0,63.7,30.9,16.0,86.771,89.445,2.0,2018,29.0,0,0,0,1,0,0
86.288,6.0,5.0,1,1,2.0,vettel,0,22.3,0,64.1,30.2,15.0,85.598,87.977,2.0,2018,29.0,0,0,0,1,0,0
85.975,7.0,6.0,1,1,2.0,vettel,0,22.3,0,64.3,30.4,15.0,86.484,87.006,2.0,2018,29.0,0,0,0,1,0,0
87.526,8.0,7.0,1,1,2.0,vettel,0,22.4,0,63.9,30.4,15.0,88.186,87.362,2.0,2018,29.0,0,0,0,1,0,0
86.853,9.0,8.0,1,1,2.0,vettel,0,22.5,0,64.3,30.4,12.0,86.915,89.165,2.0,2018,29.0,0,0,0,1,0,0
85.463,10.0,9.0,1,1,2.0,vettel,0,22.6,0,64.0,30.3,11.0,85.635,87.492,2.0,2018,29.0,0,0,0,1,0,0
84.933,11.0,10.0,1,1,2.0,vettel,0,22.5,0,63.7,30.3,11.0,85.482,87.798,2.0,2018,29.0,0,0,0,1,0,0
84.854,12.0,11.0,1,1,2.0,vettel,0,22.2,0,64.9,30.2,11.0,86.249,85.076,2.0,2018,29.0,0,0,0,1,0,0
85.088,13.0,12.0,1,1,2.0,vettel,0,22.2,0,64.4,30.1,11.0,87.427,85.093,2.0,2018,29.0,0,0,0,1,0,0
85.551,14.0,13.0,1,1,2.0,vettel,0,22.1,0,64.8,30.1,10.0,86.015,87.396,2.0,2018,29.0,0,0,0,1,0,0
85.738,15.0,14.0,1,1,2.0,vettel,0,22.4,0,64.1,30.3,10.0,87.608,86.506,2.0,2018,29.0,0,0,0,1,0,0
