LapTime,LapNumber,TyreLife,FreshTyre,TrackStatus,Stint,Piloto,makeStop,AirTemp,Rainfall,Humidity,TrackTemp,posicionActual,tiempoPilotoDelante,tiempoPilotoDetras,posicionSalida,anyo,nextPit,compound_HARD,compound_MEDIUM,compound_SOFT,compound_SUPERSOFT
80.169,59.0,40.0,1,1,2.0,bottas,0,16.9,0,49.5,32.9,2.0,79.614,79.656,2.0,2018,66.0,0,1,0,0
80.006,60.0,41.0,1,1,2.0,bottas,0,16.7,0,50.4,32.4,2.0,81.819,79.707,2.0,2018,66.0,0,1,0,0
79.819,61.0,42.0,1,1,2.0,bottas,0,17.0,0,49.1,32.4,2.0,80.047,79.557,2.0,2018,66.0,0,1,0,0
79.872,62.0,43.0,1,1,2.0,bottas,0,17.0,0,50.1,32.3,2.0,79.152,79.422,2.0,2018,66.0,0,1,0,0
80.058,63.0,44.0,1,1,2.0,bottas,0,17.1,0,49.6,31.6,2.0,79.822,79.454,2.0,2018,66.0,0,1,0,0
80.421,64.0,45.0,1,1,2.0,bottas,0,16.9,0,49.5,30.7,2.0,79.133,79.786,2.0,2018,66.0,0,1,0,0
81.013,65.0,46.0,1,1,2.0,bottas,0,16.9,0,49.5,30.7,2.0,79.425,80.194,2.0,2018,66.0,0,1,0,0
133.094,3.0,5.0,0,4,1.0,max_verstappen,0,16.3,1,51.0,35.6,5.0,133.153,133.445,5.0,2018,34.0,0,0,1,0
127.521,4.0,6.0,0,4,1.0,max_verstappen,0,15.9,1,52.0,34.0,5.0,128.036,128.545,5.0,2018,34.0,0,0,1,0
131.713,5.0,7.0,0,4,1.0,max_verstappen,0,16.1,1,52.4,36.2,5.0,130.206,130.178,5.0,2018,34.0,0,0,1,0
130.817,6.0,8.0,0,4,1.0,max_verstappen,0,16.7,0,51.5,36.6,5.0,132.584,130.561,5.0,2018,34.0,0,0,1,0
85.139,7.0,9.0,0,1,1.0,max_verstappen,0,16.4,0,50.3,36.7,5.0,84.405,87.165,5.0,2018,34.0,0,0,1,0
83.711,8.0,10.0,0,1,1.0,max_verstappen,0,16.5,1,51.0,36.5,5.0,83.722,83.567,5.0,2018,34.0,0,0,1,0
83.025,9.0,11.0,0,1,1.0,max_verstappen,0,16.3,1,51.4,35.4,5.0,82.777,82.746,5.0,2018,34.0,0,0,1,0
83.065,10.0,12.0,0,1,1.0,max_verstappen,0,16.2,1,51.0,35.1,5.0,82.723,82.555,5.0,2018,34.0,0,0,1,0
82.627,11.0,13.0,0,1,1.0,max_verstappen,0,16.4,1,52.4,35.7,5.0,82.073,82.573,5.0,2018,34.0,0,0,1,0
82.552,12.0,14.0,0,1,1.0,max_verstappen,0,16.6,1,50.7,36.3,5.0,82.641,82.345,5.0,2018,34.0,0,0,1,0
82.611,13.0,15.0,0,1,1.0,max_verstappen,0,16.5,1,50.2,35.8,5.0,82.644,82.243,5.0,2018,34.0,0,0,1,0
82.357,14.0,16.0,0,1,1.0,max_verstappen,0,16.4,1,51.8,33.2,5.0,82.027,82.595,5.0,2018,34.0,0,0,1,0
82.242,15.0,17.0,0,1,1.0,max_verstappen,0,16.2,1,51.6,32.6,5.0,82.025,82.454,5.0,2018,34.0,0,0,1,0
82.104,16.0,18.0,0,1,1.0,max_verstappen,0,16.0,1,53.0,32.2,5.0,82.248,82.368,5.0,2018,34.0,0,0,1,0
82.115,17.0,19.0,0,1,1.0,max_verstappen,0,16.0,1,51.9,31.8,5.0,81.985,82.497,5.0,2018,34.0,0,0,1,0
82.294,18.0,20.0,0,1,1.0,max_verstappen,0,15.8,1,52.8,31.4,4.0,82.169,82.314,5.0,2018,34.0,0,0,1,0
81.964,19.0,21.0,0,1,1.0,max_verstappen,0,15.8,1,53.5,30.8,4.0,81.972,82.283,5.0,2018,34.0,0,0,1,0
81.924,20.0,22.0,0,1,1.0,max_verstappen,0,15.8,1,53.8,30.8,3.0,81.993,82.115,5.0,2018,34.0,0,0,1,0
81.709,21.0,23.0,0,1,1.0,max_verstappen,0,15.9,1,53.3,30.6,3.0,81.963,81.091,5.0,2018,34.0,0,0,1,0
81.798,22.0,24.0,0,1,1.0,max_verstappen,0,15.7,0,52.8,29.7,3.0,81.946,82.311,5.0,2018,34.0,0,0,1,0
81.909,23.0,25.0,0,1,1.0,max_verstappen,0,15.7,1,53.3,30.2,3.0,81.531,81.895,5.0,2018,34.0,0,0,1,0
82.241,24.0,26.0,0,1,1.0,max_verstappen,0,15.7,1,53.3,29.8,2.0,81.662,85.384,5.0,2018,34.0,0,0,1,0
81.029,25.0,27.0,0,1,1.0,max_verstappen,0,15.8,1,53.5,29.7,2.0,84.565,81.736,5.0,2018,34.0,0,0,1,0
81.192,26.0,28.0,0,1,1.0,max_verstappen,0,15.8,1,53.2,29.6,1.0,82.097,100.689,5.0,2018,34.0,0,0,1,0
81.037,27.0,29.0,0,1,1.0,max_verstappen,0,15.8,1,53.7,29.3,1.0,86.622,80.131,5.0,2018,34.0,0,0,1,0
80.603,28.0,30.0,0,1,1.0,max_verstappen,0,15.9,1,53.3,29.6,1.0,85.144,80.711,5.0,2018,34.0,0,0,1,0
81.396,29.0,31.0,0,1,1.0,max_verstappen,0,15.7,1,53.3,29.6,1.0,83.875,80.713,5.0,2018,34.0,0,0,1,0
81.372,30.0,32.0,0,1,1.0,max_verstappen,0,15.6,1,53.8,29.0,1.0,127.059,81.074,5.0,2018,34.0,0,0,1,0
81.366,31.0,33.0,0,1,1.0,max_verstappen,0,15.6,1,54.5,28.9,1.0,82.922,80.948,5.0,2018,34.0,0,0,1,0
81.232,32.0,34.0,0,1,1.0,max_verstappen,0,15.7,1,54.7,28.9,1.0,82.666,81.006,5.0,2018,34.0,0,0,1,0
81.501,33.0,35.0,0,1,1.0,max_verstappen,0,15.8,1,54.4,28.9,1.0,83.343,81.228,5.0,2018,34.0,0,0,1,0
84.621,34.0,36.0,0,1,1.0,max_verstappen,0,15.6,1,54.0,29.0,2.0,81.854,80.785,5.0,2018,66.0,0,0,1,0
99.586,35.0,1.0,1,1,2.0,max_verstappen,1,15.7,1,54.3,29.2,4.0,80.951,80.085,5.0,2018,66.0,0,1,0,0
80.982,36.0,2.0,1,1,2.0,max_verstappen,0,15.8,1,53.6,30.3,4.0,80.947,82.436,5.0,2018,66.0,0,1,0,0
80.825,37.0,3.0,1,1,2.0,max_verstappen,0,15.9,1,52.5,30.9,4.0,81.402,81.017,5.0,2018,66.0,0,1,0,0
81.191,38.0,4.0,1,1,2.0,max_verstappen,0,16.1,1,52.2,31.7,4.0,81.185,81.413,5.0,2018,66.0,0,1,0,0
80.072,39.0,5.0,1,1,2.0,max_verstappen,0,15.9,0,51.7,32.2,4.0,81.265,80.805,5.0,2018,66.0,0,1,0,0
81.044,40.0,6.0,1,2,2.0,max_verstappen,0,16.0,1,53.1,31.3,4.0,81.257,82.254,5.0,2018,66.0,0,1,0,0
121.224,41.0,7.0,1,26,2.0,max_verstappen,0,16.3,1,51.2,30.6,4.0,116.194,122.589,5.0,2018,66.0,0,1,0,0
115.038,42.0,8.0,1,672,2.0,max_verstappen,0,16.1,1,51.2,30.3,3.0,116.214,132.006,5.0,2018,66.0,0,1,0,0
81.016,43.0,9.0,1,1,2.0,max_verstappen,0,16.0,1,53.6,31.2,3.0,81.079,82.267,5.0,2018,66.0,0,1,0,0
80.746,44.0,10.0,1,1,2.0,max_verstappen,0,16.1,1,52.1,32.5,3.0,81.378,80.475,5.0,2018,66.0,0,1,0,0
80.681,45.0,11.0,1,1,2.0,max_verstappen,0,16.2,1,52.4,33.4,3.0,79.944,80.093,5.0,2018,66.0,0,1,0,0
